,submissions/00457--gl_submission.csv,submissions/NN_pybrain_deep.py.csv,submissions/forest270_submission.csv,submissions/2015-05-13-14-52-22.csv,submissions/00508--xgboost_submission.csv,submissions/02559--NN_perceptron.csv,submissions/00597--benchmark.csv,submissions/00460--thunder_submission.csv,submissions/01006--2015-05-13-17-46-11--NN_3_layer_80epoch.csv,submissions/2015-05-14-23-42-31.csv,submissions/00570--random_forest_300_submission.csv,submissions/00453--2015-05-17-16-47-36--best--xgboost-gl-joesvmj-thunderNN.csv,submissions/xgboost_gl_thunder_rf300.csv,submissions/00503--2015-05-14-16-54-44--xgboost--thunder--rf300.csv,submissions/00963--NN_pybrain_deep.py.clip.norm.csv,submissions/01501--2015-05-14-08-47-00--NN_pybrain_3-linear-layer_360epochs.csv,submissions/2015-05-14-20-11-47.csv,submissions/00832--thunder_h20_more_cores.csv,submissions/00549--joe_benchmark_svm.csv,submissions/2015-05-15-04-01-31.csv
submissions/00457--gl_submission.csv,1.0,0.17754067404525836,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.38330850747396,0.3914804659192667,0.4923005355113258,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/NN_pybrain_deep.py.csv,0.4494791963647063,1.0,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.38330850747396,0.3914804659192667,0.4923005355113258,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/forest270_submission.csv,0.4494791963647063,0.17754067404525836,1.0,0.12685621441262462,0.32309878413943155,1.38330850747396,0.3914804659192667,0.4923005355113258,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/2015-05-13-14-52-22.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,1.0,0.32309878413943155,1.38330850747396,0.3914804659192667,0.4923005355113258,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/00508--xgboost_submission.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,0.12685621441262462,1.0,1.38330850747396,0.3914804659192667,0.4923005355113258,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/02559--NN_perceptron.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.0,0.3914804659192667,0.4923005355113258,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/00597--benchmark.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.38330850747396,1.0,0.4923005355113258,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/00460--thunder_submission.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.38330850747396,0.3914804659192667,1.0,0.22766222398984476,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/01006--2015-05-13-17-46-11--NN_3_layer_80epoch.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.38330850747396,0.3914804659192667,0.4923005355113258,1.0,0.26629098843953947,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/2015-05-14-23-42-31.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.38330850747396,0.3914804659192667,0.4923005355113258,0.22766222398984476,1.0,0.37723250907891054,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
submissions/00570--random_forest_300_submission.csv,0.4494791963647063,0.17754067404525836,0.3956583005686336,0.12685621441262462,0.32309878413943155,1.38330850747396,0.3914804659192667,0.4923005355113258,0.22766222398984476,0.26629098843953947,1.0,0.29221559010825116,0.2879152205465045,0.2729227180339869,0.19466874116974722,0.1489000761687484,0.2088370822535121,0.3956045786505909,0.3100294194649429,0.2891891976406323
